玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架)
もふもふ,xnxdx22,14,0,Lojak,11444364,579819,541229,749217,0,623509,393312,249753,344291,0,7963134,0,0,0,0,0,0,0,0,0,0,0,0,0,95
もふもふ,xnxdx22,14,1,Mohaca,10367172,7057107,42896,896429,560407,538051,410483,365033,496763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もふもふ,xnxdx22,14,2,Jukk,12754917,0,0,0,0,0,0,0,0,0,12754917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もふもふ,xnxdx22,14,3,Lojak,16042960,505581,13228158,708616,0,0,338799,328030,340855,0,0,0,0,592918,0,0,0,0,0,0,0,0,0,0,0
もふもふ,xnxdx22,14,4,Lojak,9308983,789189,6507847,0,0,0,0,0,359708,0,0,580595,0,392342,308879,370420,0,0,0,0,0,0,0,0,0
舞醉剑,rq79w8n,14,0,Lojak,12869215,0,2716468,0,0,0,0,0,0,10152747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
舞醉剑,rq79w8n,14,1,Mohaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
舞醉剑,rq79w8n,14,2,Jukk,12950048,0,7243768,0,483330,422771,0,239649,555576,0,0,343063,0,0,3661889,0,0,0,0,0,0,0,0,0,0
舞醉剑,rq79w8n,14,3,Lojak,13151488,6949412,2678007,0,0,0,0,0,0,0,0,3524069,0,0,0,0,0,0,0,0,0,0,0,0,0
舞醉剑,rq79w8n,14,4,Lojak,7607742,0,0,0,0,3217828,0,4389914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cong,gmyr876,16,0,Lojak,10904374,6227688,316782,320765,713,214604,163491,118175,3542151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cong,gmyr876,16,1,Mohaca,11639159,0,2719,0,0,0,0,0,0,311858,0,299622,492989,278733,1538016,297404,8417816,0,0,0,0,0,0,0,0
cong,gmyr876,16,2,Jukk,11083214,0,0,0,0,0,0,1936667,0,0,6717,374084,296369,253034,194709,0,8021388,0,241,0,0,0,0,0,0
cong,gmyr876,16,3,Lojak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cong,gmyr876,16,4,Lojak,10799075,0,0,0,0,0,0,0,1109694,5949068,1664504,0,0,0,0,0,2075807,0,0,0,0,0,0,0,0
三千剑气开天门,mng2634,15,0,Lojak,9641530,0,0,0,0,0,0,0,0,0,8462076,0,0,0,0,1176325,0,0,0,0,0,0,0,3098,28
三千剑气开天门,mng2634,15,1,Mohaca,11626898,0,2959,0,0,0,0,0,3046374,2497755,0,664850,1012047,0,0,3992221,408612,28,0,723,1144,0,180,0,0
三千剑气开天门,mng2634,15,2,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
