,玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架),timestamp
0,もふもふ,xnxdx22,20,0,Terro,19619853,12343,8025742,2228674,94855,1499823,1657902,1369838,972220,0,0,1886566,0,1871887,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
1,もふもふ,xnxdx22,20,1,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
2,もふもふ,xnxdx22,20,2,Takedar,19723906,2314402,8729457,694429,671457,393717,541954,1720234,1233136,0,0,0,0,0,0,1812298,1612818,0,0,0,0,0,0,0,0,2021-01-23
3,もふもふ,xnxdx22,20,3,Takedar,20273630,2455131,1605798,547947,0,563392,555301,1177255,1631475,2157585,8767911,0,811832,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
4,もふもふ,xnxdx22,20,4,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
5,もふもふ,xnxdx22,20,5,Jukk,18718805,0,11128757,1866315,1474796,1017983,1061422,1271659,897870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
6,もふもふ,xnxdx22,20,6,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
7,もふもふ,xnxdx22,20,7,Terro,19237404,43290,0,1719786,23464,1138684,0,0,761715,0,8686009,1794151,0,1899476,1952248,850787,367789,0,0,0,0,0,0,0,0,2021-01-23
8,wh,ng64n3n,21,0,Terro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
9,wh,ng64n3n,21,1,Jukk,29478060,8932,0,0,718642,0,0,0,0,0,15897018,0,1836422,3805365,2245164,2919521,2046696,0,0,0,0,297,0,0,0,2021-01-23
10,wh,ng64n3n,21,2,Takedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
11,wh,ng64n3n,21,3,Takedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
12,wh,ng64n3n,21,4,Jukk,31871696,14789,0,0,0,0,0,6358407,0,0,2470771,2908417,2398465,2992299,2761410,3109216,8857917,0,0,0,0,0,0,0,0,2021-01-23
13,wh,ng64n3n,21,5,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
14,wh,ng64n3n,21,6,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-23
15,wh,ng64n3n,21,7,Terro,20518724,0,0,0,0,0,0,0,0,0,2598272,565500,0,458615,850006,7989698,8056070,0,0,0,0,560,0,0,0,2021-01-23
16,剑圣二次污染,523dqmp,21,0,Terro,6946872,0,0,0,0,0,0,0,0,0,0,0,0,4210928,0,1122641,1613244,0,0,0,0,0,58,0,0,2021-01-23
